HR,SBP,DBP,MAP,CO,SV,CVP,RR,SpO2,Scenario,Alarm
73,121,62,81.7,5.32,72.9,8.0,15,97,Healthy,NORMAL
74,122,61,81.3,5.39,72.8,7.9,16,97,Healthy,NORMAL
74,124.0,63.2,83.5,5.37,72.5,8.6,15,97,Healthy,NORMAL
74,125.92,64.352,84.9,5.38,72.6,9.5,14,96,Healthy,NORMAL
75,126.76,66.456,86.6,5.47,72.9,10.2,15,95,Healthy,NORMAL
74,128.52,68.512,88.5,5.43,73.3,10.8,15,95,Healthy,NORMAL
75,130.20000000000002,68.52,89.1,5.49,73.1,11.4,15,95,Healthy,NORMAL
74,130.8,69.47999999999999,89.9,5.42,73.3,12.0,15,94,Healthy,NORMAL
74,131.32000000000002,70.392,90.7,5.45,73.7,12.6,16,94,Healthy,NORMAL
73,132.76000000000002,70.256,91.1,5.36,73.4,13.0,16,95,Healthy,NORMAL
72,133.12,70.072,91.1,5.27,73.2,13.5,15,95,Healthy,NORMAL
72,135.4,69.84,91.7,5.25,72.9,14.0,16,96,Healthy,NORMAL
72,136.6,69.56,91.9,5.27,73.3,14.3,16,96,Healthy,NORMAL
72,138.72,69.232,92.4,5.31,73.8,14.9,16,96,Healthy,NORMAL
71,139.76,69.856,93.2,5.22,73.5,15.4,17,95,Healthy,NORMAL
72,140.72,71.43199999999999,94.5,5.28,73.4,15.9,16,94,Healthy,NORMAL
71,142.6,72.96,96.2,5.2,73.2,16.2,16,95,Healthy,NORMAL
70,142.4,73.44,96.4,5.12,73.1,16.4,17,95,Healthy,NORMAL
71,144.12,74.872,98.0,5.17,72.8,16.8,17,95,Healthy,NORMAL
70,145.76,74.256,98.1,5.12,73.2,17.0,18,95,Healthy,NORMAL
69,147.32,75.592,99.5,5.03,73.0,17.1,19,96,Healthy,NORMAL
68,148.79999999999998,76.88,100.9,4.96,72.9,17.5,18,96,Healthy,NORMAL
69,149.2,76.11999999999999,100.5,5.02,72.8,17.5,19,96,Healthy,NORMAL
70,148.51999999999998,77.31199999999998,101.0,5.13,73.3,17.7,18,95,Healthy,NORMAL
71,151.51999999999998,78.51199999999999,102.8,5.19,73.1,18.5,17,94,Healthy,NORMAL
72,152.51999999999998,80.71199999999999,104.6,5.28,73.4,19.2,16,94,Healthy,NORMAL
72,155.51999999999998,82.91199999999999,107.1,5.27,73.2,19.8,17,94,Healthy,NORMAL
71,158.51999999999998,84.112,108.9,5.22,73.5,20,17,94,Healthy,NORMAL
71,161.43999999999997,85.264,110.7,5.23,73.7,20,16,94,Healthy,NORMAL
71,163.27999999999997,86.368,112.0,5.21,73.4,20,17,94,Healthy,NORMAL
70,164.03999999999996,86.42399999999999,112.3,5.16,73.7,20,16,95,Healthy,NORMAL
69,166.71999999999997,88.43199999999999,114.5,5.07,73.5,20,15,96,Healthy,NORMAL
69,167.31999999999996,89.39199999999998,115.4,5.08,73.6,20,16,96,Healthy,NORMAL
68,167.83999999999997,89.30399999999999,115.5,5.03,74.0,20,15,96,Healthy,NORMAL
68,168.27999999999997,89.16799999999999,115.5,5.04,74.1,20,15,95,Healthy,NORMAL
67,168.63999999999996,90.984,116.9,4.96,74.0,20,15,94,Healthy,NORMAL
68,169.91999999999996,92.752,118.5,5.06,74.4,20,16,94,Healthy,NORMAL
68,172.11999999999995,93.472,119.7,5.04,74.1,20,17,95,Healthy,NORMAL
67,174.23999999999995,93.14399999999999,120.2,4.93,73.6,20,16,96,Healthy,NORMAL
68,174.27999999999994,94.76799999999999,121.3,5.01,73.6,20,17,95,Healthy,NORMAL
68,175.23999999999995,94.34399999999998,121.3,5.0,73.6,20,16,95,Healthy,NORMAL
68,176.11999999999995,95.87199999999999,122.6,5.02,73.9,20,17,95,Healthy,NORMAL
67,175.91999999999996,97.35199999999999,123.5,4.95,73.9,20,17,95,Healthy,NORMAL
67,176.63999999999996,98.78399999999999,124.7,4.97,74.1,20,18,95,Healthy,NORMAL
68,177.27999999999994,98.16799999999999,124.5,5.06,74.4,20,17,96,Healthy,NORMAL
68,177.83999999999995,97.50399999999999,124.3,5.03,74.0,20,17,95,Healthy,NORMAL
68,177.31999999999994,96.79199999999999,123.6,5.05,74.3,20,16,95,Healthy,NORMAL
69,177.71999999999994,97.03199999999998,123.9,5.15,74.7,20,16,95,Healthy,NORMAL
70,178.03999999999994,97.22399999999998,124.2,5.21,74.4,20,17,95,Healthy,NORMAL
69,179.27999999999994,97.36799999999998,124.7,5.15,74.7,20,17,94,Healthy,NORMAL
70,180.43999999999994,97.46399999999998,125.1,5.21,74.4,19.9,17,93,Healthy,NORMAL
74,119.08,80.048,93.1,5.18,70.1,7.9,17,98,Healthy,NORMAL
75,120.08,79.048,92.7,5.27,70.2,7.8,17,98,Healthy,NORMAL
76,120.08,80.048,93.4,5.32,70.0,7.9,16,98,Healthy,NORMAL
75,121.08,81.048,94.4,5.26,70.1,8.0,16,97,Healthy,NORMAL
75,121.08,81.048,94.4,5.25,70.0,8.1,16,97,Healthy,NORMAL
75,121.08,82.048,95.1,5.21,69.5,8.2,16,96,Healthy,NORMAL
76,120.08,83.048,95.4,5.3,69.7,8.0,17,96,Healthy,NORMAL
77,121.08,84.048,96.4,5.36,69.6,8.1,18,95,Healthy,NORMAL
76,121.08,85.048,97.1,5.27,69.3,8.1,18,95,Healthy,NORMAL
75,121.08,84.048,96.4,5.22,69.6,8.1,17,95,Healthy,NORMAL
75,121.08,85.048,97.1,5.23,69.8,7.9,16,96,Healthy,NORMAL
74,121.08,85.048,97.1,5.19,70.1,8.0,17,96,Healthy,NORMAL
75,122.08,86.048,98.1,5.27,70.2,8.2,17,96,Healthy,NORMAL
75,122.08,87.048,98.7,5.27,70.2,8.2,18,97,Healthy,NORMAL
76,123.08,88.048,99.7,5.33,70.1,8.1,17,98,Healthy,NORMAL
76,122.08,88.048,99.4,5.36,70.5,8.2,16,98,Healthy,NORMAL
75,122.08,87.048,98.7,5.26,70.1,8.1,15,98,Healthy,NORMAL
75,123.08,86.048,98.4,5.27,70.3,8.1,16,98,Healthy,NORMAL
75,123.08,86.048,98.4,5.31,70.7,8.3,17,98,Healthy,NORMAL
75,124.08,85.048,98.1,5.29,70.5,8.4,17,98,Healthy,NORMAL
76,124.08,85.048,98.1,5.39,70.9,8.6,17,97,Healthy,NORMAL
77,125.08,85.048,98.4,5.42,70.4,8.5,17,96,Healthy,NORMAL
78,124.08,85.048,98.1,5.51,70.6,8.7,16,96,Healthy,NORMAL
78,124.08,85.048,98.1,5.54,71.0,8.5,17,95,Healthy,NORMAL
78,125.08,86.048,99.1,5.57,71.5,8.5,18,95,Healthy,NORMAL
77,124.08,87.048,99.4,5.51,71.5,8.6,17,95,Healthy,NORMAL
76,124.08,88.048,100.1,5.4,71.0,8.8,16,95,Healthy,NORMAL
75,123.08,87.048,99.1,5.3,70.7,8.9,17,95,Healthy,NORMAL
75,122.08,87.048,98.7,5.31,70.8,8.8,18,96,Healthy,NORMAL
74,122.08,87.048,98.7,5.24,70.8,8.7,19,96,Healthy,NORMAL
73,123.08,88.048,99.7,5.2,71.2,8.5,18,97,Healthy,NORMAL
73,123.08,87.048,99.1,5.17,70.8,8.3,17,97,Healthy,NORMAL
72,122.08,88.048,99.4,5.13,71.3,8.3,18,96,Healthy,NORMAL
71,123.08,89.048,100.4,5.04,71.0,8.4,17,97,Healthy,NORMAL
70,122.08,90.048,100.7,4.99,71.3,8.5,16,97,Healthy,NORMAL
71,122.08,91.048,101.4,5.03,70.9,8.6,16,97,Healthy,NORMAL
71,122.08,92.048,102.1,5.03,70.9,8.8,16,98,Healthy,NORMAL
71,121.08,92.048,101.7,5.06,71.3,8.8,15,98,Healthy,NORMAL
72,121.08,93.048,102.4,5.14,71.4,8.6,14,98,Healthy,NORMAL
73,120.08,94.048,102.7,5.21,71.3,8.7,14,98,Healthy,NORMAL
72,120.08,95.048,103.4,5.1,70.8,8.7,15,98,Healthy,NORMAL
73,120.08,95.048,103.4,5.18,70.9,8.7,16,98,Healthy,NORMAL
73,121.08,94.048,103.1,5.18,70.9,8.7,15,98,Healthy,NORMAL
72,122.08,93.048,102.7,5.1,70.9,8.8,16,98,Healthy,NORMAL
72,123.08,94.048,103.7,5.09,70.8,8.8,16,97,Healthy,NORMAL
73,122.08,93.048,102.7,5.16,70.7,8.7,17,98,Healthy,NORMAL
72,121.08,93.048,102.4,5.08,70.6,8.6,17,98,Healthy,NORMAL
72,122.08,92.048,102.1,5.08,70.6,8.6,18,97,Healthy,NORMAL
71,121.08,93.048,102.4,5.01,70.6,8.5,17,97,Healthy,NORMAL
72,121.08,92.048,101.7,5.09,70.7,8.5,18,96,Healthy,NORMAL
71,121.08,91.048,101.1,4.98,70.2,8.3,18,97,Healthy,NORMAL
71,120.08,91.048,100.7,4.95,69.7,8.2,18,97,Healthy,NORMAL
70,121.08,92.048,101.7,4.87,69.6,8.3,19,98,Healthy,NORMAL
71,122.08,92.048,102.1,4.93,69.4,8.4,18,99,Healthy,NORMAL
72,122.08,91.048,101.4,5.02,69.8,8.6,18,99,Healthy,NORMAL
72,122.08,90.048,100.7,5.01,69.6,8.7,18,99,Healthy,NORMAL
73,123.08,91.048,101.7,5.09,69.7,8.8,18,100,Healthy,NORMAL
74,122.08,90.048,100.7,5.18,70.0,8.6,19,99,Healthy,NORMAL
73,121.08,89.048,99.7,5.14,70.4,8.8,19,99,Healthy,NORMAL
72,122.08,90.048,100.7,5.05,70.1,9.0,19,99,Healthy,NORMAL
71,122.08,91.048,101.4,4.97,70.0,8.8,20,100,Healthy,NORMAL
71,122.08,90.048,100.7,4.97,70.0,9.0,20,100,Healthy,NORMAL
71,121.08,90.048,100.4,4.99,70.3,8.9,20,99,Healthy,NORMAL
72,122.08,89.048,100.1,5.08,70.5,8.8,20,99,Healthy,NORMAL
71,123.08,89.048,100.4,4.99,70.2,8.7,19,99,Healthy,NORMAL
70,124.08,89.048,100.7,4.9,70.0,8.6,19,99,Healthy,NORMAL
70,125.08,88.048,100.4,4.87,69.5,8.6,19,99,Healthy,NORMAL
71,124.08,87.048,99.4,4.96,69.8,8.5,18,98,Healthy,NORMAL
71,123.08,86.048,98.4,4.95,69.7,8.3,18,98,Healthy,NORMAL
71,122.08,87.048,98.7,4.98,70.1,8.2,17,98,Healthy,NORMAL
70,122.08,86.048,98.1,4.93,70.4,8.4,16,98,Healthy,NORMAL
71,123.08,85.048,97.7,4.99,70.3,8.5,16,97,Healthy,NORMAL
70,123.08,84.048,97.1,4.94,70.6,8.7,17,97,Healthy,NORMAL
70,124.08,84.048,97.4,4.97,71.0,8.6,16,98,Healthy,NORMAL
70,125.08,85.048,98.4,4.97,70.9,8.6,16,99,Healthy,NORMAL
69,126.08,86.048,99.4,4.87,70.6,8.5,16,99,Healthy,NORMAL
68,125.08,85.048,98.4,4.77,70.2,8.6,17,98,Healthy,NORMAL
68,126.08,86.048,99.4,4.78,70.3,8.8,18,99,Healthy,NORMAL
67,127.08,85.048,99.1,4.71,70.2,8.8,19,99,Healthy,NORMAL
68,126.08,85.048,98.7,4.8,70.6,8.6,18,99,Healthy,NORMAL
68,125.08,84.048,97.7,4.79,70.5,8.6,18,98,Healthy,NORMAL
67,124.08,83.048,96.7,4.74,70.7,8.4,17,99,Healthy,NORMAL
66,123.08,82.048,95.7,4.7,71.2,8.5,16,98,Healthy,NORMAL
66,122.08,81.048,94.7,4.69,71.0,8.3,16,99,Healthy,NORMAL
67,122.08,80.048,94.1,4.73,70.6,8.4,16,99,Healthy,NORMAL
68,123.08,81.048,95.1,4.8,70.6,8.2,16,99,Healthy,NORMAL
68,123.08,80.048,94.4,4.83,71.0,8.1,15,99,Healthy,NORMAL
68,122.08,79.048,93.4,4.86,71.5,8.3,15,98,Healthy,NORMAL
68,123.08,80.048,94.4,4.89,71.9,8.4,14,98,Healthy,NORMAL
67,124.08,80.048,94.7,4.82,71.9,8.4,13,98,Healthy,NORMAL
66,125.08,81.048,95.7,4.75,72.0,8.4,12,98,Healthy,NORMAL
66,126.08,82.048,96.7,4.77,72.3,8.3,12,99,Healthy,NORMAL
66,126.08,82.048,96.7,4.77,72.3,8.2,13,99,Healthy,NORMAL
67,127.08,83.048,97.7,4.88,72.8,8.0,12,99,Healthy,NORMAL
68,126.08,84.048,98.1,4.95,72.8,8.0,11,99,Healthy,NORMAL
67,126.08,83.048,97.4,4.86,72.5,7.9,11,99,Healthy,NORMAL
68,126.08,82.048,96.7,4.91,72.2,8.0,12,99,Healthy,NORMAL
68,126.08,81.048,96.1,4.92,72.4,8.0,11,100,Healthy,NORMAL
68,125.08,81.048,95.7,4.91,72.3,8.1,11,100,Healthy,NORMAL
69,126.08,80.048,95.4,4.96,71.9,8.1,10,100,Healthy,NORMAL
69,126.08,79.048,94.7,4.97,72.0,8.3,10,100,Healthy,NORMAL
69,125.08,78.048,93.7,4.94,71.6,8.4,10,100,Healthy,NORMAL
69,125.08,77.048,93.1,4.97,72.1,8.4,11,100,Healthy,NORMAL
68,126.08,78.048,94.1,4.9,72.0,8.2,12,100,Healthy,NORMAL
67,126.08,77.048,93.4,4.81,71.8,8.4,13,99,Healthy,NORMAL
66,127.08,77.048,93.7,4.75,71.9,8.3,13,100,Healthy,NORMAL
66,128.07999999999998,77.048,94.1,4.77,72.3,8.2,12,100,Healthy,NORMAL
66,128.07999999999998,76.048,93.4,4.78,72.4,8.0,12,100,Healthy,NORMAL
65,128.07999999999998,77.048,94.1,4.72,72.6,8.1,11,100,Healthy,NORMAL
66,127.07999999999998,77.048,93.7,4.76,72.1,8.1,11,100,Healthy,NORMAL
67,128.07999999999998,76.048,93.4,4.82,71.9,8.3,10,100,Healthy,NORMAL
67,129.07999999999998,75.048,93.1,4.8,71.7,8.4,11,100,Healthy,NORMAL
68,129.07999999999998,75.048,93.1,4.85,71.4,8.3,12,100,Healthy,NORMAL
69,130.07999999999998,75.048,93.4,4.91,71.1,8.1,13,100,Healthy,NORMAL
70,131.07999999999998,75.048,93.7,4.95,70.7,7.9,13,100,Healthy,NORMAL
69,132.07999999999998,75.048,94.1,4.87,70.6,7.8,14,100,Healthy,NORMAL
68,132.07999999999998,75.048,94.1,4.82,70.9,7.8,14,100,Healthy,NORMAL
68,132.07999999999998,76.048,94.7,4.81,70.8,7.8,14,99,Healthy,NORMAL
69,131.07999999999998,75.048,93.7,4.91,71.1,7.7,15,99,Healthy,NORMAL
69,131.07999999999998,74.048,93.1,4.93,71.4,7.7,15,99,Healthy,NORMAL
70,130.07999999999998,73.048,92.1,5.03,71.9,7.6,15,98,Healthy,NORMAL
70,130.07999999999998,72.048,91.4,5.04,72.0,7.8,16,99,Healthy,NORMAL
69,130.07999999999998,71.048,90.7,5.0,72.5,7.9,16,100,Healthy,NORMAL
69,130.07999999999998,72.048,91.4,5.03,73.0,7.9,15,100,Healthy,NORMAL
69,130.07999999999998,73.048,92.1,5.05,73.2,8.0,16,100,Healthy,NORMAL
69,131.07999999999998,74.048,93.1,5.08,73.7,8.1,16,100,Healthy,NORMAL
68,132.07999999999998,75.048,94.1,5.0,73.6,8.1,17,100,Healthy,NORMAL
69,133.07999999999998,74.048,93.7,5.07,73.5,8.1,18,100,Healthy,NORMAL
70,134.07999999999998,73.048,93.4,5.12,73.1,8.0,18,99,Healthy,NORMAL
69,133.07999999999998,73.048,93.1,5.07,73.5,8.0,19,98,Healthy,NORMAL
68,132.07999999999998,72.048,92.1,5.02,73.8,8.1,18,98,Healthy,NORMAL
69,132.07999999999998,72.048,92.1,5.07,73.5,8.2,18,99,Healthy,NORMAL
68,131.07999999999998,71.048,91.1,4.98,73.3,8.3,18,98,Healthy,NORMAL
67,132.07999999999998,70.048,90.7,4.89,73.1,8.3,17,98,Healthy,NORMAL
66,132.07999999999998,70.048,90.7,4.8,72.7,8.1,16,99,Healthy,NORMAL
66,132.07999999999998,70.048,90.7,4.78,72.5,7.9,15,100,Healthy,NORMAL
65,133.07999999999998,69.048,90.4,4.74,72.9,7.9,14,99,Healthy,NORMAL
66,133.07999999999998,70.048,91.1,4.82,73.1,7.8,14,99,Healthy,NORMAL
65,132.07999999999998,71.048,91.4,4.77,73.4,7.7,15,98,Healthy,NORMAL
66,132.07999999999998,72.048,92.1,4.87,73.8,7.7,14,98,Healthy,NORMAL
66,132.07999999999998,71.048,91.4,4.86,73.7,7.9,14,98,Healthy,NORMAL
66,132.07999999999998,71.048,91.4,4.85,73.5,7.9,13,98,Healthy,NORMAL
65,132.07999999999998,70.048,90.7,4.8,73.9,7.9,12,97,Healthy,NORMAL
64,132.07999999999998,69.048,90.1,4.74,74.0,7.7,11,97,Healthy,NORMAL
64,131.07999999999998,68.048,89.1,4.76,74.3,7.7,11,97,Healthy,NORMAL
63,132.07999999999998,67.048,88.7,4.7,74.6,7.7,12,97,Healthy,NORMAL
62,131.07999999999998,67.048,88.4,4.66,75.1,7.8,11,97,Healthy,NORMAL
63,131.07999999999998,66.048,87.7,4.73,75.1,7.9,11,97,Healthy,NORMAL
64,130.07999999999998,65.048,86.7,4.78,74.7,7.7,10,97,Healthy,NORMAL
63,130.07999999999998,66.048,87.4,4.68,74.3,7.5,11,96,Healthy,NORMAL
64,130.07999999999998,65.048,86.7,4.78,74.7,7.7,12,97,Healthy,NORMAL
63,131.07999999999998,66.048,87.7,4.7,74.6,7.8,13,97,Healthy,NORMAL
62,130.07999999999998,66.048,87.4,4.65,75.0,7.9,12,97,Healthy,NORMAL
62,131.07999999999998,66.048,87.7,4.64,74.9,7.8,12,96,Healthy,NORMAL
63,131.07999999999998,67.048,88.4,4.74,75.2,7.9,11,95,Healthy,NORMAL
63,132.07999999999998,68.048,89.4,4.74,75.3,7.8,11,96,Healthy,NORMAL
63,133.07999999999998,69.048,90.4,4.71,74.8,7.8,12,96,Healthy,NORMAL
63,133.07999999999998,68.048,89.7,4.7,74.6,7.9,12,96,Healthy,NORMAL
63,132.07999999999998,69.048,90.1,4.72,74.9,8.0,12,96,Healthy,NORMAL
62,131.07999999999998,70.048,90.4,4.64,74.8,7.9,11,96,Healthy,NORMAL
61,130.07999999999998,69.048,89.4,4.58,75.1,8.1,10,97,Healthy,NORMAL
62,131.07999999999998,68.048,89.1,4.65,75.0,7.9,10,98,Healthy,NORMAL
63,130.07999999999998,69.048,89.4,4.73,75.1,7.8,11,98,Healthy,NORMAL
62,131.07999999999998,69.048,89.7,4.68,75.5,7.8,11,98,Healthy,NORMAL
61,131.07999999999998,69.048,89.7,4.64,76.0,7.8,12,99,Healthy,NORMAL
61,131.07999999999998,70.048,90.4,4.66,76.4,7.9,12,98,Healthy,NORMAL
60,132.07999999999998,70.048,90.7,4.6,76.7,8.0,11,97,Healthy,NORMAL
59,133.07999999999998,71.048,91.7,4.51,76.5,7.8,10,97,Healthy,NORMAL
60,134.07999999999998,70.048,91.4,4.59,76.6,7.7,10,98,Healthy,NORMAL
59,134.07999999999998,70.048,91.4,4.49,76.1,7.6,9,98,Healthy,NORMAL
59,133.07999999999998,70.048,91.1,4.48,75.9,7.8,9,99,Healthy,NORMAL
59,133.07999999999998,71.048,91.7,4.49,76.2,7.8,9,99,Healthy,NORMAL
60,133.07999999999998,72.048,92.4,4.54,75.7,7.9,10,100,Healthy,NORMAL
61,133.07999999999998,71.048,91.7,4.59,75.3,8.1,9,100,Healthy,NORMAL
61,132.07999999999998,71.048,91.4,4.61,75.6,8.2,9,99,Healthy,NORMAL
60,133.07999999999998,71.048,91.7,4.56,76.0,8.3,8,99,Healthy,NORMAL
59,133.07999999999998,71.048,91.7,4.51,76.5,8.5,8,99,Healthy,NORMAL
58,132.07999999999998,70.048,90.7,4.43,76.3,8.4,8,99,Healthy,NORMAL
58,131.07999999999998,70.048,90.4,4.45,76.7,8.2,8,99,Healthy,NORMAL
57,132.07999999999998,70.048,90.7,4.39,76.9,8.4,9,100,Healthy,NORMAL
58,133.07999999999998,69.048,90.4,4.44,76.5,8.4,9,99,Healthy,NORMAL
58,133.07999999999998,69.048,90.4,4.46,76.8,8.6,10,98,Healthy,NORMAL
58,134.07999999999998,70.048,91.4,4.43,76.4,8.7,11,97,Healthy,NORMAL
57,134.07999999999998,71.048,92.1,4.38,76.8,8.5,12,97,Healthy,NORMAL
58,133.07999999999998,72.048,92.4,4.46,77.0,8.5,11,97,Healthy,NORMAL
59,132.07999999999998,72.048,92.1,4.55,77.1,8.4,11,98,Healthy,NORMAL
58,132.07999999999998,72.048,92.1,4.5,77.6,8.5,12,98,Healthy,NORMAL
58,132.07999999999998,72.048,92.1,4.48,77.3,8.7,13,99,Healthy,NORMAL
57,132.07999999999998,72.048,92.1,4.43,77.7,8.7,14,98,Healthy,NORMAL
56,133.07999999999998,71.048,91.7,4.34,77.5,8.7,14,98,Healthy,NORMAL
55,134.07999999999998,71.048,92.1,4.27,77.6,8.7,15,99,Healthy,NORMAL
54,133.07999999999998,70.048,91.1,4.17,77.1,8.5,14,99,Healthy,NORMAL
54,134.07999999999998,70.048,91.4,4.17,77.1,8.7,13,99,Healthy,NORMAL
54,134.07999999999998,71.048,92.1,4.18,77.5,8.6,12,98,Healthy,NORMAL
53,133.07999999999998,72.048,92.4,4.13,77.9,8.7,12,98,Healthy,NORMAL
52,133.07999999999998,72.048,92.4,4.07,78.4,8.6,12,98,Healthy,NORMAL
52,132.07999999999998,72.048,92.1,4.09,78.6,8.8,12,98,Healthy,NORMAL
52,132.07999999999998,72.048,92.1,4.09,78.6,8.7,12,98,Healthy,NORMAL
52,133.07999999999998,71.048,91.7,4.07,78.2,8.6,11,98,Healthy,NORMAL
51,132.07999999999998,71.048,91.4,3.97,77.8,8.5,12,98,Healthy,NORMAL
51,133.07999999999998,70.048,91.1,3.99,78.2,8.5,11,99,Healthy,NORMAL
51,132.07999999999998,69.048,90.1,3.98,78.0,8.5,11,99,Healthy,NORMAL
52,132.07999999999998,69.048,90.1,4.04,77.7,8.4,11,98,Healthy,NORMAL
51,132.07999999999998,69.048,90.1,3.94,77.2,8.5,11,97,Healthy,NORMAL
52,133.07999999999998,69.048,90.4,4.04,77.7,8.5,10,98,Healthy,NORMAL
51,132.07999999999998,70.048,90.7,3.98,78.1,8.6,9,98,Healthy,NORMAL
51,132.07999999999998,69.048,90.1,3.99,78.2,8.6,10,99,Healthy,NORMAL
51,132.07999999999998,70.048,90.7,3.99,78.2,8.5,11,99,Healthy,NORMAL
51,131.07999999999998,70.048,90.4,4.01,78.6,8.4,11,100,Healthy,NORMAL
51,131.07999999999998,70.048,90.4,4.02,78.8,8.6,10,100,Healthy,NORMAL
50,130.07999999999998,70.048,90.1,3.95,79.0,8.4,11,100,Healthy,NORMAL
49,130.07999999999998,71.048,90.7,3.86,78.8,8.5,12,100,Healthy,LOW HR
48,130.07999999999998,70.048,90.1,3.78,78.8,8.7,13,100,Healthy,LOW HR
48,131.07999999999998,70.048,90.4,3.77,78.6,8.5,12,100,Healthy,LOW HR
49,131.07999999999998,70.048,90.4,3.83,78.3,8.7,11,100,Healthy,LOW HR
48,131.07999999999998,69.048,89.7,3.76,78.4,8.8,11,100,Healthy,LOW HR
47,130.07999999999998,70.048,90.1,3.67,78.1,8.9,11,100,Healthy,LOW HR
47,131.07999999999998,69.048,89.7,3.67,78.0,9.0,12,100,Healthy,LOW HR
48,132.07999999999998,69.048,90.1,3.74,77.9,8.9,11,100,Healthy,LOW HR
47,132.07999999999998,68.048,89.4,3.66,77.9,8.9,10,100,Healthy,LOW HR
48,133.07999999999998,69.048,90.4,3.73,77.8,8.9,10,100,Healthy,LOW HR
49,134.07999999999998,68.048,90.1,3.79,77.4,8.9,11,100,Healthy,LOW HR
48,135.07999999999998,68.048,90.4,3.72,77.5,8.9,11,100,Healthy,LOW HR
47,134.07999999999998,69.048,90.7,3.66,77.9,8.8,10,100,Healthy,LOW HR
